size,Triton,Torch
4096.000000,5.333333,5.333333
8192.000000,10.666666,19.200000
16384.000000,31.999999,31.999999
32768.000000,63.999998,63.999998
65536.000000,127.999995,127.999995
131072.000000,219.428568,219.428568
262144.000000,384.000001,341.333321
524288.000000,558.545450,558.545450
1048576.000000,819.200021,819.200021
2097152.000000,983.040025,983.040025
4194304.000000,1092.266650,1092.266650
8388608.000000,1198.829288,1198.829288
16777216.000000,1293.473742,1285.019601
33554432.000000,1332.935569,1323.959634
67108864.000000,1351.257714,1339.747899
134217728.000000,1360.609050,1348.939930
