N,Triton,Torch,Torch.jit,Torch.compile
256.000000,282.482752,455.111095,186.181817,585.142849
384.000000,455.111110,819.200021,303.407414,682.666643
512.000000,712.347810,910.222190,334.367358,819.200021
640.000000,787.692317,930.909084,359.298239,731.428561
768.000000,847.448255,1023.999964,372.363633,819.200021
896.000000,896.000002,1061.925924,377.263175,924.903238
1024.000000,936.228546,1057.032272,372.363633,992.969689
1152.000000,1023.999964,614.400016,372.363647,877.714293
1280.000000,1050.256447,660.645170,365.714281,952.558139
1408.000000,1072.761913,726.709687,363.354844,979.478239
1536.000000,1092.266650,780.190482,364.088903,1068.521715
1664.000000,1109.333294,806.787872,362.231295,950.857130
1792.000000,1124.392177,843.294103,358.400009,1006.035068
1920.000000,1137.777776,890.434763,355.144523,1024.000026
2048.000000,1129.931006,949.797080,358.120225,1057.032272
2176.000000,1141.508219,967.111077,358.927848,1009.159398
2304.000000,1134.276920,996.324281,361.411771,1038.422503
2432.000000,1144.470568,1051.675630,361.972105,1051.675630
2560.000000,1153.802781,1077.894785,365.714281,1050.256447
2688.000000,1162.378328,1088.810159,366.025533,1011.952945
2816.000000,1170.285760,1112.493850,364.825927,1023.999992
2944.000000,1177.600030,1135.036158,365.147307,1012.989221
3072.000000,1170.285724,1156.517652,368.179781,1003.102074
3200.000000,1190.697674,1163.636355,371.014485,966.037740
3328.000000,1183.288871,1170.285692,371.066199,950.857130
3456.000000,1202.086930,1189.161260,373.621605,937.220311
3584.000000,1194.666624,1182.350559,372.363651,917.503956
3712.000000,1199.838419,1199.838419,375.898745,879.881516
3840.000000,1204.705904,1204.705904,375.779831,859.300714
3968.000000,1209.295248,1209.295248,377.904765,846.506626
4096.000000,1213.629628,1213.629628,371.308771,824.352186
4224.000000,1175.373887,958.638320,377.564256,804.571435
4352.000000,1170.285747,967.111077,380.502740,786.802285
4480.000000,1194.666697,968.648606,380.265263,779.130417
4608.000000,1189.161306,983.039953,381.023249,767.999973
4736.000000,1184.000003,997.052676,381.743077,750.257442
4864.000000,1197.292304,1010.701339,385.267335,737.668226
4992.000000,1201.082760,1024.000035,387.728161,726.109085
5120.000000,1195.912448,1036.962056,385.505877,718.596477
5248.000000,1208.172696,1043.080722,390.548850,714.621278
5376.000000,1203.021000,1068.521715,388.334088,705.049194
5504.000000,1214.675878,1087.209899,390.527716,701.705206
5632.000000,1217.729677,1105.668683,388.413783,698.542675
5760.000000,1220.662250,1110.361459,390.508463,690.337090
5888.000000,1207.794914,1128.239483,390.095229,685.149095
6016.000000,1226.191065,1139.124218,392.881628,682.666682
6144.000000,1228.800031,1163.360904,393.215981,685.045290
6272.000000,1223.804898,1160.138775,395.086594,680.352530
6400.000000,1233.734955,1177.011490,393.846153,680.398687
6528.000000,1236.070960,1180.203427,394.888460,678.233793
6656.000000,1231.167679,1189.899474,395.161431,678.318462
6784.000000,1240.502901,1206.044426,396.145999,674.186320
6912.000000,1242.606727,1215.296681,395.677991,672.291789
7040.000000,1244.640913,1231.038275,395.922654,670.476196
7168.000000,1233.204270,1233.204270,397.532043,674.635297
7296.000000,1241.872305,1241.872305,398.416396,668.974195
7424.000000,1243.811524,1250.357855,397.936345,671.096066
7552.000000,1239.302561,1252.145079,399.444623,669.429339
7680.000000,1241.212157,1260.307689,398.314435,671.475423
7808.000000,1243.064661,1268.304561,400.410270,668.064179
7936.000000,1238.790220,1263.442770,400.555207,670.058039
8064.000000,1240.615399,1271.172394,399.455126,668.518135
8192.000000,1248.304772,1285.019631,400.219859,670.444998
8320.000000,1210.181809,1172.863453,393.846139,665.600017
8448.000000,1201.493354,1175.373887,394.651108,667.496298
8576.000000,1219.697799,1148.251042,395.435166,667.717784
8704.000000,1221.614011,1155.717835,398.466366,668.734695
8832.000000,1202.655322,1163.061718,400.317269,663.436599
8960.000000,1214.915218,1175.081990,402.131828,662.936409
9088.000000,1227.071729,1182.178811,401.679567,663.963488
9216.000000,1228.800031,1193.975762,402.885254,662.723577
9344.000000,1230.485585,1191.266978,402.433372,661.522113
9472.000000,1227.141755,1202.793660,404.678238,663.247283
9600.000000,1226.347371,1200.000003,404.743074,662.068949
9728.000000,1230.418945,1206.573711,405.861789,666.586716
9856.000000,1232.000003,1203.786320,406.433005,651.636378
9984.000000,1214.783296,1214.783296,406.473288,661.465824
10112.000000,1225.696960,1221.071654,407.536528,634.478452
10240.000000,1204.705861,1213.629677,398.637483,635.038795
10368.000000,1206.458188,1210.861354,394.501783,630.752865
10496.000000,1239.380087,1239.380087,404.178107,663.778641
10624.000000,1220.710969,1240.759165,406.174419,648.793926
10752.000000,1228.799967,1246.608668,404.781171,662.936424
10880.000000,1217.342679,1256.895245,407.681507,659.393934
11008.000000,1244.720843,1253.580134,406.762117,659.655441
11136.000000,1245.986036,1263.659603,407.725391,657.476022
11264.000000,1247.224962,1269.183059,407.746616,658.954327
11392.000000,1239.945588,1270.188142,409.140304,659.211550
11520.000000,1237.046984,1279.999955,407.787604,655.943093
11648.000000,1242.453274,1285.296568,409.825179,653.922836
11776.000000,1260.307664,1286.116085,410.492372,658.797214
11904.000000,1257.188086,1291.281333,410.925559,657.906753
12032.000000,1226.191065,1292.026850,411.350416,658.160715
12160.000000,1208.447178,1292.757506,411.767205,655.084194
12288.000000,1248.304714,1202.495461,411.313806,658.653260
12416.000000,1257.316493,1226.271630,407.499498,654.550222
12544.000000,1258.332236,1227.547449,408.765773,658.045914
12672.000000,1243.877268,1228.799963,410.014171,656.155349
