N,Triton,Torch,Torch.compile
256.000000,3.640889,2.048000,2.520615
384.000000,5.461333,3.072000,3.780923
512.000000,6.553600,3.855059,4.681143
640.000000,8.192000,4.551111,5.461333
768.000000,8.936727,5.173895,6.144000
896.000000,9.557333,5.734400,6.746353
1024.000000,10.922666,6.241524,7.710118
1152.000000,12.288000,6.702545,7.760842
1280.000000,13.653333,6.826666,8.623158
1408.000000,13.863385,7.509333,9.011200
1536.000000,15.123692,7.561846,9.830400
1664.000000,16.384000,7.888593,10.142476
1792.000000,15.291734,7.645867,9.557333
1920.000000,16.384000,7.680000,9.830400
2048.000000,17.476267,8.192000,10.485760
2176.000000,18.568534,8.192000,10.712616
2304.000000,19.660800,8.673882,11.342769
2432.000000,20.753067,8.894171,11.529481
2560.000000,21.845334,9.102222,11.702857
2688.000000,19.114666,9.054316,11.864276
2816.000000,20.024888,9.011200,12.014934
2944.000000,20.935110,9.662359,12.155871
3072.000000,21.845333,9.830400,12.288000
3200.000000,22.755555,9.752381,12.412121
3328.000000,22.420212,9.906605,12.908606
3456.000000,23.282527,10.287628,13.405091
3584.000000,22.937601,9.362286,11.762872
3712.000000,22.625524,9.316392,11.878400
3840.000000,23.405714,9.273962,11.702857
3968.000000,24.185905,9.405630,11.811721
4096.000000,24.966095,9.532509,12.192744
4224.000000,24.576000,11.753739,16.139462
4352.000000,25.320727,9.947428,12.660364
4480.000000,24.932173,10.060351,12.743111
4608.000000,25.644521,10.169379,12.822261
4736.000000,26.356869,10.103467,13.178434
4864.000000,27.069217,10.376534,13.246638
4992.000000,26.623999,10.475017,13.312000
5120.000000,27.306666,10.570323,13.653333
5248.000000,25.836308,10.662603,13.709062
5376.000000,26.466462,10.586585,13.762560
5504.000000,27.096616,11.008000,13.813961
5632.000000,26.699852,10.922667,14.135216
5760.000000,28.356923,11.004179,14.456471
5888.000000,27.913481,10.922666,14.493539
6016.000000,28.520296,11.160116,14.529208
6144.000000,28.086857,11.076507,14.563556
6272.000000,28.672000,11.150222,14.866963
6400.000000,29.257142,11.221917,14.894545
6528.000000,29.842285,11.141119,14.921143
6656.000000,29.378206,11.210106,14.946807
6784.000000,29.943172,11.277299,15.234245
6912.000000,30.508137,11.342770,14.995525
7040.000000,30.037334,10.989268,14.534194
7168.000000,29.596904,11.054265,14.563556
7296.000000,31.129601,10.859163,14.592000
7424.000000,31.675734,10.798545,14.619569
7552.000000,31.182452,10.984727,14.646303
7680.000000,31.710968,10.922667,14.672239
7808.000000,31.232000,10.982681,14.916776
7936.000000,30.782060,11.041391,14.938353
8064.000000,31.278545,11.098838,14.959304
8192.000000,30.840470,11.037642,15.196753
8320.000000,31.322352,10.978969,15.213714
8448.000000,32.768000,11.034123,15.230197
8576.000000,32.286117,11.088162,15.246222
8704.000000,31.831771,11.030812,15.473777
8832.000000,31.402666,11.083294,15.486246
8960.000000,31.857777,11.027692,15.498378
9088.000000,32.312888,10.974189,15.510186
9216.000000,32.767999,11.128755,15.728639
9344.000000,33.223110,11.074370,15.333744
9472.000000,32.767999,11.123083,15.543795
9600.000000,32.336844,11.070270,15.554431
9728.000000,32.768001,11.117714,15.761823
9856.000000,33.199159,11.066386,15.769600
9984.000000,33.630317,11.210105,15.974400
10112.000000,33.188104,11.158069,15.979457
10240.000000,33.608206,11.202735,15.984391
10368.000000,34.028309,11.246644,15.798857
10496.000000,33.587201,11.012197,15.621953
10624.000000,33.167610,11.055869,15.630713
10752.000000,33.567220,11.010047,15.639273
10880.000000,33.158096,11.052699,15.473778
11008.000000,33.548191,11.094677,15.655822
11136.000000,33.938286,11.049675,15.663824
11264.000000,32.768000,11.006046,15.503139
11392.000000,33.140363,10.963730,15.849739
11520.000000,33.512727,11.004179,15.686808
11648.000000,33.885091,11.126448,15.861106
11776.000000,32.767999,11.165393,15.866610
11904.000000,32.419403,11.121986,15.708372
12032.000000,32.767999,11.160116,15.877279
12160.000000,31.764899,11.117714,15.882449
12288.000000,32.099266,11.076507,15.887516
12416.000000,31.784961,11.113623,15.892480
12544.000000,31.482981,11.073324,15.897347
12672.000000,31.804236,11.186317,15.902118
