N,Triton,Torch,Torch.compile
256.000000,5.461333,41.943041,41.943041
384.000000,8.192000,58.254222,58.254222
512.000000,10.866073,74.898285,74.898285
640.000000,13.512578,87.381336,87.381336
768.000000,16.131938,95.325090,95.325090
896.000000,18.676926,96.579373,96.579373
1024.000000,20.360699,116.508440,116.508440
1152.000000,22.795130,112.347429,115.087612
1280.000000,25.327922,111.550635,111.550635
1408.000000,27.726770,125.373215,125.373215
1536.000000,29.959315,131.071995,131.071995
1664.000000,32.302103,123.922617,123.922617
1792.000000,31.502283,128.772489,128.772489
1920.000000,33.752447,135.591721,135.591721
2048.000000,35.848751,139.810137,137.518167
2176.000000,38.252773,125.533743,125.533743
2304.000000,40.158230,134.816911,134.816911
2432.000000,42.937378,144.369156,146.492233
2560.000000,45.197240,149.796567,149.796567
2688.000000,47.253425,152.917328,155.071094
2816.000000,49.503588,155.869399,158.004596
2944.000000,51.313294,158.666112,160.781646
3072.000000,53.092456,163.414448,163.414448
3200.000000,55.072270,163.840004,165.913929
3328.000000,57.035514,164.234797,166.237661
3456.000000,34.695530,168.521144,168.521144
3584.000000,34.299215,151.340872,151.340872
3712.000000,35.195259,153.579318,155.146454
3840.000000,36.408889,158.875156,157.286404
3968.000000,37.449144,160.920083,159.342434
4096.000000,38.657181,164.482513,162.885595
4224.000000,39.682348,153.110652,150.447858
4352.000000,40.791285,165.053629,165.053629
4480.000000,41.799727,168.349357,166.818908
4608.000000,42.896291,168.521141,167.029803
4736.000000,43.888363,173.202283,168.683961
4864.000000,45.176743,174.762663,170.281568
4992.000000,46.156280,176.269237,172.550481
5120.000000,47.446879,176.231265,176.231265
5248.000000,48.413981,167.936000,166.634180
5376.000000,49.706763,169.385353,166.818908
5504.000000,50.661536,168.241669,166.995444
5632.000000,51.839711,169.622585,167.164286
5760.000000,52.081591,172.211393,169.733530
5888.000000,53.475051,172.266053,167.480883
6016.000000,54.396328,158.977650,155.959093
6144.000000,55.553697,168.898148,168.898148
6272.000000,55.969743,170.133192,169.013902
6400.000000,57.236682,169.125160,168.041031
6528.000000,58.001494,173.627851,171.401852
6656.000000,58.883317,172.550486,171.465255
6784.000000,59.374494,173.670404,170.474008
6912.000000,60.237345,174.762670,172.631417
7040.000000,44.091500,165.723218,161.999099
7168.000000,44.893164,166.818908,164.023066
7296.000000,45.555513,166.024531,164.200085
7424.000000,46.284177,166.167785,165.264692
7552.000000,47.010626,169.032746,166.306404
7680.000000,47.880183,168.220751,165.564626
7808.000000,48.604206,167.442765,167.442765
7936.000000,49.627262,167.555965,166.696697
8064.000000,50.045671,169.385353,165.980622
8192.000000,50.917195,168.615235,166.937471
8320.000000,51.634423,169.125168,167.052552
8448.000000,52.428798,173.015044,164.776230
8576.000000,52.350666,167.672062,164.146243
8704.000000,52.661130,161.319388,153.670617
8832.000000,53.121691,165.186635,161.499426
8960.000000,53.343256,165.316034,163.839998
9088.000000,53.177785,166.925779,161.845422
9216.000000,53.620363,138.273752,138.273752
9344.000000,53.981699,165.684088,164.969927
9472.000000,54.567246,164.395385,164.395385
9600.000000,53.939093,147.825570,147.271912
9728.000000,55.188209,155.648000,144.894139
9856.000000,54.407245,148.967441,140.662633
9984.000000,55.039655,152.024024,143.489354
10112.000000,55.151466,150.067939,138.062500
10240.000000,55.775318,151.967533,144.134156
10368.000000,46.412381,152.760177,149.008175
10496.000000,46.427231,142.356344,140.956121
10624.000000,47.402945,164.832968,164.210952
10752.000000,45.355501,159.565910,160.730633
10880.000000,47.459511,135.867319,134.635896
11008.000000,47.712983,137.465758,134.996307
11136.000000,47.862599,141.655450,137.388725
11264.000000,48.185215,142.399213,120.149329
11392.000000,48.758236,143.574252,131.441218
11520.000000,49.357657,136.770780,129.988761
11648.000000,49.185782,166.237657,169.787226
11776.000000,49.623967,130.716796,130.363505
11904.000000,49.652528,130.371082,124.702770
12032.000000,50.494952,132.838468,131.071996
12160.000000,50.668727,128.039488,116.918682
12288.000000,51.306470,163.414448,165.564639
12416.000000,50.452318,129.734535,126.822784
12544.000000,52.322019,135.926520,127.494348
12672.000000,51.904510,129.115700,122.705705
