N,Triton,Torch,Torch.compile
256.000000,3.940674,26.978462,29.226666
384.000000,8.008772,38.481171,40.454566
512.000000,10.622707,48.913860,51.299903
640.000000,13.277091,55.933275,59.746909
768.000000,15.772160,63.088642,67.115573
896.000000,18.217822,66.909090,70.769232
1024.000000,19.931601,77.880889,80.876309
1152.000000,22.316679,77.559608,81.571308
1280.000000,24.679361,78.458268,82.136000
1408.000000,27.146816,85.033410,87.610181
1536.000000,29.338792,90.111998,92.762351
1664.000000,31.490360,89.913267,93.608325
1792.000000,30.662401,93.151598,98.119675
1920.000000,32.715950,98.556802,102.396679
2048.000000,34.752530,101.326652,106.457117
2176.000000,37.077510,94.059786,98.194284
2304.000000,39.096067,101.733847,106.306156
2432.000000,41.611734,108.552345,114.790988
2560.000000,43.801601,111.833869,117.456808
2688.000000,45.611373,114.978663,121.296174
2816.000000,47.783142,116.803236,124.338922
2944.000000,49.545444,119.693943,128.607315
3072.000000,50.865549,121.294771,131.402662
3200.000000,52.351492,122.805832,134.083923
3328.000000,54.663165,122.015998,132.677594
3456.000000,33.788953,123.403128,133.880755
3584.000000,32.344897,116.801017,126.870066
3712.000000,33.280559,118.158890,129.173691
3840.000000,34.503423,120.366907,130.314581
3968.000000,35.575616,121.594267,131.400260
4096.000000,36.803502,123.670586,134.553594
4224.000000,37.706017,117.194373,124.782507
4352.000000,38.680381,122.399557,134.363435
4480.000000,39.817974,124.296643,135.263998
4608.000000,40.867110,126.143141,138.112939
4736.000000,42.002246,126.279485,138.907425
4864.000000,43.137382,128.855534,138.698662
4992.000000,43.987502,128.919344,140.398460
5120.000000,44.731370,128.980021,140.158287
5248.000000,46.144137,124.562502,135.530262
5376.000000,46.967830,119.972171,127.600468
5504.000000,47.579890,120.858012,130.638433
5632.000000,48.482214,123.668536,134.453581
5760.000000,48.367248,117.669571,126.479060
5888.000000,48.842733,119.688874,126.581948
6016.000000,49.405438,112.285090,120.501071
6144.000000,50.255556,117.889196,126.775315
6272.000000,50.398936,125.018720,136.988592
6400.000000,51.226947,116.280635,123.377574
6528.000000,51.548061,116.038927,127.037873
6656.000000,52.660039,112.471439,120.398944
6784.000000,52.459749,115.585593,124.915375
6912.000000,52.852319,120.261420,133.247395
7040.000000,40.093292,115.629051,130.802103
7168.000000,40.709313,111.067287,115.877285
7296.000000,40.704347,111.785073,114.783138
7424.000000,41.988937,110.449157,115.033837
7552.000000,42.420707,111.145290,111.947778
7680.000000,42.557495,108.741739,117.230865
7808.000000,43.560695,114.094924,118.305064
7936.000000,43.976033,110.837552,118.495419
8064.000000,44.149077,118.256454,118.256454
8192.000000,45.455914,108.507663,120.133483
8320.000000,45.489938,108.799183,120.292053
8448.000000,46.251349,125.229279,141.010205
8576.000000,45.732572,107.688322,115.456002
8704.000000,46.354927,104.808350,113.459196
8832.000000,47.343623,107.611915,114.763345
8960.000000,48.029743,107.261763,113.028531
9088.000000,47.355776,108.163337,107.539921
9216.000000,49.018031,107.811739,117.157652
9344.000000,49.315538,107.773841,115.217680
9472.000000,49.671845,108.488303,118.939014
9600.000000,49.520884,108.891229,109.801182
9728.000000,49.681830,107.957277,103.482363
9856.000000,49.839605,103.503220,114.970908
9984.000000,51.116369,112.934788,130.143893
10112.000000,50.146009,105.116190,110.722388
10240.000000,50.903709,107.535711,111.529085
10368.000000,42.614645,104.343218,104.857220
10496.000000,43.183967,104.100481,106.677230
10624.000000,43.623166,109.331245,124.994747
10752.000000,43.453478,102.433264,106.126770
10880.000000,44.231984,103.173910,110.306924
11008.000000,44.226881,112.717886,115.600693
11136.000000,44.916937,104.874862,107.843019
11264.000000,45.388626,113.638836,123.007996
11392.000000,45.635684,101.248001,110.062530
11520.000000,45.614412,101.944273,104.882803
11648.000000,46.299820,104.427320,101.978066
11776.000000,46.718147,104.434729,105.344836
11904.000000,47.134859,122.197123,139.255979
12032.000000,48.105565,115.701211,100.825338
12160.000000,47.371902,100.462744,103.804542
12288.000000,48.891042,112.373164,121.873311
12416.000000,48.438120,98.800626,104.255870
12544.000000,49.194542,102.602968,99.626093
12672.000000,49.460320,112.138480,125.077540
